id,title,url,completion_ratio
1313502,Bootstrap 4 From Scratch With 5 Projects,/course/bootstrap-4-from-scratch-with-5-projects/learn/,0
1672410,Node.js Express MongoDB & More: The Complete Bootcamp 2023,/course/nodejs-express-mongodb-bootcamp/learn/,0
1026604,Advanced CSS and Sass: Flexbox Grid Animations and More!,/course/advanced-css-and-sass/learn/,0
2640372,React NodeJS Express & MongoDB - The MERN Fullstack Guide,/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/learn/,0
3581421,React [2021] - The Full Stack Serverless eCommerce Course,/course/react-full-stack-serverless-ecommerce/learn/,0
4671500,React and React Native Apps with NodeJs API for Web & Mobile,/course/react-react-native-nodejs-web-and-mobile-apps/learn/,0
4341438,Build Web Apps with React & Firebase,/course/build-web-apps-with-react-firebase/learn/,0
3598684,10 Mega Responsive Websites with HTML CSS and JavaScript,/course/10-mega-responsive-websites-with-html-css-and-javascript/learn/,0
1518026,Javascript Tutorial and Projects Course (2022),/course/javascript-tutorial-for-beginners-w/learn/,0
2018828,React Tutorial and Projects Course (2022),/course/react-tutorial-and-projects-course/learn/,0
947098,Understanding TypeScript - 2023 Edition,/course/understanding-typescript/learn/,0
3749464,React and Typescript: Build a Portfolio Project,/course/react-and-typescript-build-a-portfolio-project/learn/,0
1646980,MERN Stack Front To Back: Full Stack React Redux & Node.js,/course/mern-stack-front-to-back/learn/,0
4699780,Tailwind CSS From Scratch | Learn By Building Projects,/course/tailwind-from-scratch/learn/,0
4412672,Full Stack Ecommerce App With React  Redux  Firebase 2021,/course/full-stack-ecommerce-app-with-react-redux-firebase-2021/learn/,0
4363612,MERN Stack Car Rental Application 2021 : React Redux Node,/course/mern-stack-car-rental-application-2021-react-redux-node/learn/,0
4133912,MERN Stack : Hotel Booking App with React Node Mongo 2021,/course/mern-stack-hotel-booking-app-with-react-node-mongo-2021/learn/,0
4781608,MERN Stack Music Player App 2022,/course/mern-stack-music-player/learn/,0
3493354,Fullstack Web Development for Beginners :15 Hand-On-Projects,/course/the-complete-web-development-bootcamp-for-beginners-2020/learn/,0
1619356,React in easy steps with Node and Java Backend,/course/reactjs-in-easy-steps/learn/,0
4395504,Discord Clone - Learn MERN Stack with WebRTC and SocketIO,/course/video-chat-app-learn-mern-stack-with-webrtc-and-socketio/learn/,0
1655614,Build an app with React Redux and Firestore from scratch,/course/build-an-app-with-react-redux-and-firestore-from-scratch/learn/,0
4523988,MERN Stack News Application with Tailwind CSS,/course/mern-stack-news-application-with-tailwind-css-2022/learn/,0
4435978,React - Tailwind CSS Portfolio Project From Scratch 2022,/course/react-tailwind-css-portfolio-project-from-scratch-2021/learn/,0
3909476,Full Stack Development: React (React Hooks) and Spring Boot,/course/full-stack-development-react-hooks-and-spring-boot/learn/,0
3874004,FullStack JavaScript React Node MERN eLearning Marketplace,/course/nextjs-react-node-aws-mern-lms-elearning-udemy-clone/learn/,0
4527016,Build a Movie Review App Node & React - MERN Stack 2022,/course/mern-stack-bootcamp-build-a-complete-movie-review-app/learn/,0
3546864,React Redux Ecommerce - Master MERN Stack Web Development,/course/react-redux-ecommerce/learn/,0
2773328,Introduction to NGINX,/course/nginx-crash-course/learn/,0
